"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. The group at NHS, which might join with other high school students, is planning to drop banners in some of the banks investing in the pipeline in the next couple days while the coalition continues to keep the conversation going. The coalition also has connections with Arcadia Charter School and more than 10 other high schools around the Twin Cities metro, made while attending protests. "
"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. East Timor in the Wake of Massacre by Liz Gardiner When Indonesian troops gunned down hundreds at- tending a funeral, they drew attention to the illegal annexation of E. Timor and the long pattern of cultural and physical genocide. The group at NHS, which might join with other high school students, is planning to drop banners in some of the banks investing in the pipeline in the next couple days while the coalition continues to keep the conversation going. "
"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. East Timor in the Wake of Massacre by Liz Gardiner When Indonesian troops gunned down hundreds at- tending a funeral, they drew attention to the illegal annexation of E. Timor and the long pattern of cultural and physical genocide. The group at NHS, which might join with other high school students, is planning to drop banners in some of the banks investing in the pipeline in the next couple days while the coalition continues to keep the conversation going. "
"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. East Timor in the Wake of Massacre by Liz Gardiner When Indonesian troops gunned down hundreds at- tending a funeral, they drew attention to the illegal annexation of E. Timor and the long pattern of cultural and physical genocide. The group at NHS, which might join with other high school students, is planning to drop banners in some of the banks investing in the pipeline in the next couple days while the coalition continues to keep the conversation going. "
"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. East Timor in the Wake of Massacre by Liz Gardiner When Indonesian troops gunned down hundreds at- tending a funeral, they drew attention to the illegal annexation of E. Timor and the long pattern of cultural and physical genocide. The group at NHS, which might join with other high school students, is planning to drop banners in some of the banks investing in the pipeline in the next couple days while the coalition continues to keep the conversation going. "
"Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. East Timor in the Wake of Massacre by Liz Gardiner When Indonesian troops gunned down hundreds at- tending a funeral, they drew attention to the illegal annexation of E. Timor and the long pattern of cultural and physical genocide. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
"Skip to Main Content CBC Menu Search Quick Links News Sports Radio Listen Live TV Watch CBC.ca HOME Discover CBC Comedy Arts Music Books Docs Life Parents Kids Kids News Indspire Awards Archives All Locals British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Ottawa Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North My Local Settings Ottawa Change quickly access local content from your selected region Select a new default local region: British Columbia Calgary Edmonton Saskatchewan Saskatoon Manitoba Thunder Bay Sudbury Windsor London Kitchener-Waterloo Hamilton Toronto Montreal New Brunswick Prince Edward Island Nova Scotia Newfoundland & Labrador North News Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Sports Top Stories Scores NHL Olympic Sports Video Podcasts Player's Own Voice All Sports Radio Top Stories All Shows Podcasts Schedules LISTEN LIVE TV Shows Schedule Watch More Shop Sitemap Help Contact Contests news Top Stories Local The National Opinion World Canada Politics Indigenous Business Health Entertainment Tech & Science CBC News Investigates Go Public Shows Saskatchewan news Stanley Mission to Standing Rock: walk complete after weeks on the road Stanley Mission to Standing Rock: walk complete after weeks on the road Ricky Sanderson is one of eight people who departed from Stanley Mission, Sask. Young Peoples Action Coalition, which was co-founded by Northfield local Cliff Martin in an effort to organize high school students around various causes, presented its case at Northfield High School Tuesday and took a group of students through what they called dangers of pipelines. These lands that the pipeline is cutting through right now are their homeland from time immemorial.. One advantage, however, is that Native people from the Plains are teaching the folks from warmer climates how to adapt, using lots of traditional methods from bonfires to longhouses. "
